type,approach_class,model_class,class_description,inputs,output,class_license,dataset_schema,class_annotation_sample,tags,class_parameters,reference_url,paper_url,scala_docs,scala_source,scala_source_tests,evaluator_class,paper_abstract,scala_nlp_code,python_nlp_code,python_nlu_code,wikipedia_link
vivekn_sentiment,ViveknSentimentApproach,ViveknSentimentModel,Scores a sentence for a sentiment,"sentence, sentiment_label, token",sentiment,open source,,,"sentiment classification, sentiment, classification, vivekn sentiment, vivekn sentiment, classification","[{'param_name': 'featureLimit', 'param_description': 'content feature limit, to boost performance in very dirt text. Default disabled with -1', 'param_default_value': '-1', 'param_setter_method': 'model.setFeatureLimit(-1)', 'param_getter_method': 'model.getFeatureLimit()'}, {'param_name': 'importantFeatureRatio', 'param_description': 'proportion of feature content to be considered relevant. Defaults to 0.5', 'param_default_value': '0.5', 'param_setter_method': 'model.setImportantFeatureRatio(0.5)', 'param_getter_method': 'model.getImportantFeatureRatio()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence', 'token']"", 'param_setter_method': ""model.setInputCols(['sentence', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'negative_totals', 'param_description': 'count of negative words', 'param_default_value': '149804', 'param_setter_method': 'model.setNegative_totals(149804)', 'param_getter_method': 'model.getNegative_totals()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'sentiment', 'param_setter_method': ""model.setOutputCol('sentiment')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'positive_totals', 'param_description': 'count of positive words', 'param_default_value': '149804', 'param_setter_method': 'model.setPositive_totals(149804)', 'param_getter_method': 'model.getPositive_totals()'}, {'param_name': 'unimportantFeatureStep', 'param_description': 'proportion to lookahead in unimportant features. Defaults to 0.025', 'param_default_value': '0.025', 'param_setter_method': 'model.setUnimportantFeatureStep(0.025)', 'param_getter_method': 'model.getUnimportantFeatureStep()'}]",https://github.com/vivekn/sentiment/,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.sda.vivekn.ViveknSentimentApproach,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/sda/vivekn/ViveknSentimentModel.scala,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/sda/vivekn,,,,,,
yake,,YakeModel,"Yake is an Unsupervised, Corpus-Independent, Domain and Language-Independent and Single-Document keyword extraction algorithm.",token,keywords,open source,,,"Keyword Extraction, Unsupervised, Corpus-Independent, Domain and Language-Independent keyword extraction algorithm. , ","[{'param_name': 'minNGrams', 'param_description': 'Minimum N-grams a keyword should have', 'param_default_value': '1', 'param_setter_method': 'model.setMinNGrams(1)', 'param_getter_method': 'model.getMinNGrams()'}, {'param_name': 'maxNGrams', 'param_description': 'Maximum N-grams a keyword should have', 'param_default_value': '3', 'param_setter_method': 'model.setMaxNGrams(3)', 'param_getter_method': 'model.getMaxNGrams()'}, {'param_name': 'nKeywords', 'param_description': 'Number of Keywords to extract', 'param_default_value': '3', 'param_setter_method': 'model.setNKeywords(3)', 'param_getter_method': 'model.getNKeywords()'}, {'param_name': 'windowSize', 'param_description': 'Window size for Co-Occurrence', 'param_default_value': '3', 'param_setter_method': 'model.setWindowSize(3)', 'param_getter_method': 'model.getWindowSize()'}, {'param_name': 'stopWords', 'param_description': ""the words to be filtered out. by default it's english stop words from Spark ML"", 'param_default_value': '[\'i\', \'me\', \'my\', \'myself\', \'we\', \'our\', \'ours\', \'ourselves\', \'you\', \'your\', \'yours\', \'yourself\', \'yourselves\', \'he\', \'him\', \'his\', \'himself\', \'she\', \'her\', \'hers\', \'herself\', \'it\', \'its\', \'itself\', \'they\', \'them\', \'their\', \'theirs\', \'themselves\', \'what\', \'which\', \'who\', \'whom\', \'this\', \'that\', \'these\', \'those\', \'am\', \'is\', \'are\', \'was\', \'were\', \'be\', \'been\', \'being\', \'have\', \'has\', \'had\', \'having\', \'do\', \'does\', \'did\', \'doing\', \'a\', \'an\', \'the\', \'and\', \'but\', \'if\', \'or\', \'because\', \'as\', \'until\', \'while\', \'of\', \'at\', \'by\', \'for\', \'with\', \'about\', \'against\', \'between\', \'into\', \'through\', \'during\', \'before\', \'after\', \'above\', \'below\', \'to\', \'from\', \'up\', \'down\', \'in\', \'out\', \'on\', \'off\', \'over\', \'under\', \'again\', \'further\', \'then\', \'once\', \'here\', \'there\', \'when\', \'where\', \'why\', \'how\', \'all\', \'any\', \'both\', \'each\', \'few\', \'more\', \'most\', \'other\', \'some\', \'such\', \'no\', \'nor\', \'not\', \'only\', \'own\', \'same\', \'so\', \'than\', \'too\', \'very\', \'s\', \'t\', \'can\', \'will\', \'just\', \'don\', \'should\', \'now\', ""i\'ll"", ""you\'ll"", ""he\'ll"", ""she\'ll"", ""we\'ll"", ""they\'ll"", ""i\'d"", ""you\'d"", ""he\'d"", ""she\'d"", ""we\'d"", ""they\'d"", ""i\'m"", ""you\'re"", ""he\'s"", ""she\'s"", ""it\'s"", ""we\'re"", ""they\'re"", ""i\'ve"", ""we\'ve"", ""you\'ve"", ""they\'ve"", ""isn\'t"", ""aren\'t"", ""wasn\'t"", ""weren\'t"", ""haven\'t"", ""hasn\'t"", ""hadn\'t"", ""don\'t"", ""doesn\'t"", ""didn\'t"", ""won\'t"", ""wouldn\'t"", ""shan\'t"", ""shouldn\'t"", ""mustn\'t"", ""can\'t"", ""couldn\'t"", \'cannot\', \'could\', ""here\'s"", ""how\'s"", ""let\'s"", \'ought\', ""that\'s"", ""there\'s"", ""what\'s"", ""when\'s"", ""where\'s"", ""who\'s"", ""why\'s"", \'would\']', 'param_setter_method': 'model.setStopWords([\'i\', \'me\', \'my\', \'myself\', \'we\', \'our\', \'ours\', \'ourselves\', \'you\', \'your\', \'yours\', \'yourself\', \'yourselves\', \'he\', \'him\', \'his\', \'himself\', \'she\', \'her\', \'hers\', \'herself\', \'it\', \'its\', \'itself\', \'they\', \'them\', \'their\', \'theirs\', \'themselves\', \'what\', \'which\', \'who\', \'whom\', \'this\', \'that\', \'these\', \'those\', \'am\', \'is\', \'are\', \'was\', \'were\', \'be\', \'been\', \'being\', \'have\', \'has\', \'had\', \'having\', \'do\', \'does\', \'did\', \'doing\', \'a\', \'an\', \'the\', \'and\', \'but\', \'if\', \'or\', \'because\', \'as\', \'until\', \'while\', \'of\', \'at\', \'by\', \'for\', \'with\', \'about\', \'against\', \'between\', \'into\', \'through\', \'during\', \'before\', \'after\', \'above\', \'below\', \'to\', \'from\', \'up\', \'down\', \'in\', \'out\', \'on\', \'off\', \'over\', \'under\', \'again\', \'further\', \'then\', \'once\', \'here\', \'there\', \'when\', \'where\', \'why\', \'how\', \'all\', \'any\', \'both\', \'each\', \'few\', \'more\', \'most\', \'other\', \'some\', \'such\', \'no\', \'nor\', \'not\', \'only\', \'own\', \'same\', \'so\', \'than\', \'too\', \'very\', \'s\', \'t\', \'can\', \'will\', \'just\', \'don\', \'should\', \'now\', ""i\'ll"", ""you\'ll"", ""he\'ll"", ""she\'ll"", ""we\'ll"", ""they\'ll"", ""i\'d"", ""you\'d"", ""he\'d"", ""she\'d"", ""we\'d"", ""they\'d"", ""i\'m"", ""you\'re"", ""he\'s"", ""she\'s"", ""it\'s"", ""we\'re"", ""they\'re"", ""i\'ve"", ""we\'ve"", ""you\'ve"", ""they\'ve"", ""isn\'t"", ""aren\'t"", ""wasn\'t"", ""weren\'t"", ""haven\'t"", ""hasn\'t"", ""hadn\'t"", ""don\'t"", ""doesn\'t"", ""didn\'t"", ""won\'t"", ""wouldn\'t"", ""shan\'t"", ""shouldn\'t"", ""mustn\'t"", ""can\'t"", ""couldn\'t"", \'cannot\', \'could\', ""here\'s"", ""how\'s"", ""let\'s"", \'ought\', ""that\'s"", ""there\'s"", ""what\'s"", ""when\'s"", ""where\'s"", ""who\'s"", ""why\'s"", \'would\'])', 'param_getter_method': 'model.getStopWords()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token']"", 'param_setter_method': ""model.setInputCols(['token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'keywords', 'param_setter_method': ""model.setOutputCol('keywords')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.keyword.yake.YakeModel,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/keyword.yake/YakeModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/annotators/keyword/yake/YakeTestSpec.scala,,,,,,
language_detector,,LanguageDetectorDL,LanguageDetectorDL is a state-of-the-art language detection and identification annotator trained by using TensorFlow/keras neural networks.,document,language,open source,,,"classification, deep learning,language classification,deep learning","[{'param_name': 'thresholdLabel', 'param_description': 'In case the score is less than threshold, what should be the label. Default is neutral.', 'param_default_value': 'Unknown', 'param_setter_method': ""model.setThresholdLabel('Unknown')"", 'param_getter_method': 'model.getThresholdLabel()'}, {'param_name': 'threshold', 'param_description': 'The minimum threshold for the final result otheriwse it will be either neutral or the value set in thresholdLabel.', 'param_default_value': '0.5', 'param_setter_method': 'model.setThreshold(0.5)', 'param_getter_method': 'model.getThreshold()'}, {'param_name': 'coalesceSentences', 'param_description': 'If sets to true the output of all sentences will be averaged to one output instead of one output per sentence. Default to false.', 'param_default_value': 'True', 'param_setter_method': 'model.setCoalesceSentences(True)', 'param_getter_method': 'model.getCoalesceSentences()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document']"", 'param_setter_method': ""model.setInputCols(['document'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'language', 'param_setter_method': ""model.setOutputCol('language')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ld.dl.LanguageDetectorDL,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ld/dl/LanguageDetectorDL.scala,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/ld/dl,,,,,,
named_entity_recognizer_dl,NerDLApproach,NerDLModel,"Named Entity recognition annotator allows for a generic model to be trained by utilizing a deep learning algorithm (Char CNNs - BiLSTM - CRF - word embeddings) inspired on a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","sentence, token, word_embeddings",ner,open source,,,"ner,named entity recognition, named entity classification, deep learning, Char CNN - BiLSTM – CRF, named entity, entity-extraction ","[{'param_name': 'includeConfidence', 'param_description': 'whether to include confidence scores in annotation metadata', 'param_default_value': 'False', 'param_setter_method': 'model.setIncludeConfidence(False)', 'param_getter_method': 'model.getIncludeConfidence()'}, {'param_name': 'batchSize', 'param_description': 'Size of every batch.', 'param_default_value': '32', 'param_setter_method': 'model.setBatchSize(32)', 'param_getter_method': 'model.getBatchSize()'}, {'param_name': 'classes', 'param_description': 'get the tags used to trained this NerDLModel', 'param_default_value': ""['O', 'I-PER', 'I-MISC', 'I-ORG', 'I-LOC', 'B-MISC', 'B-LOC', 'B-ORG']"", 'param_setter_method': ""model.setClasses(['O', 'I-PER', 'I-MISC', 'I-ORG', 'I-LOC', 'B-MISC', 'B-LOC', 'B-ORG'])"", 'param_getter_method': 'model.getClasses()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence', 'token', 'word_embeddings']"", 'param_setter_method': ""model.setInputCols(['sentence', 'token', 'word_embeddings'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'ner', 'param_setter_method': ""model.setOutputCol('ner')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'bert_base_cased', 'param_setter_method': ""model.setStorageRef('bert_base_cased')"", 'param_getter_method': 'model.getStorageRef()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ner.dl.NerDLModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/ner/dl,,,,,,
named_entity_recognizer_crf,NerCrfApproach,NerCrfModel,Named Entity recognition annotator allows for a generic model to be trained by CRF model,"sentence, token, pos, word_embeddings",ner,open source,,,"ner,named entity recognition, named entity classification, entity-extraction ","[{'param_name': 'includeConfidence', 'param_description': 'whether to include confidence scores in annotation metadata', 'param_default_value': 'False', 'param_setter_method': 'model.setIncludeConfidence(False)', 'param_getter_method': 'model.getIncludeConfidence()'}, {'param_name': 'batchSize', 'param_description': 'Size of every batch.', 'param_default_value': '32', 'param_setter_method': 'model.setBatchSize(32)', 'param_getter_method': 'model.getBatchSize()'}, {'param_name': 'classes', 'param_description': 'get the tags used to trained this NerDLModel', 'param_default_value': ""['O', 'I-PER', 'I-MISC', 'I-ORG', 'I-LOC', 'B-MISC', 'B-LOC', 'B-ORG']"", 'param_setter_method': ""model.setClasses(['O', 'I-PER', 'I-MISC', 'I-ORG', 'I-LOC', 'B-MISC', 'B-LOC', 'B-ORG'])"", 'param_getter_method': 'model.getClasses()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence', 'token', 'word_embeddings']"", 'param_setter_method': ""model.setInputCols(['sentence', 'token', 'word_embeddings'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'ner', 'param_setter_method': ""model.setOutputCol('ner')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'bert_base_cased', 'param_setter_method': ""model.setStorageRef('bert_base_cased')"", 'param_getter_method': 'model.getStorageRef()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.ner.dl.NerDLModel,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/ner/dl/NerDLModel.scala,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/ner/dl,,,,,,
pos,PerceptronApproach,PerceptronModel,Sets a Part-Of-Speech tag to each word within a sentence.,"token, sentence",pos,open source,,,"pos, part of speech, part of speech classification,deep learning, part-of-speech-tagger","[{'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token', 'sentence']"", 'param_setter_method': ""model.setInputCols(['token', 'sentence'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'pos', 'param_setter_method': ""model.setOutputCol('pos')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.pos.perceptron.PerceptronApproach,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/main/scala/com/johnsnowlabs/nlp/annotators/pos/perceptron/PerceptronModel.scala,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/pos/perceptron,,,,,,
unlabeled_dependency_parser,DependencyParserApproach,DependencyParserModel,Unlabeled parser that finds a grammatical relation between two words in a sentence,"document, pos, token",unlabeled_dependency,open source,,,"Untyped Dependency Parser, Unlabeled grammatical relation, Unlabeled Dependency Parser, Dependency Tree, Unlabeled Dependency Tree, Untyped Dependency Tree , Unlabeled Dependency Tree Parser, Untyped Dependency Tree Parser","[{'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document', 'pos', 'token']"", 'param_setter_method': ""model.setInputCols(['document', 'pos', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'dependency', 'param_setter_method': ""model.setOutputCol('dependency')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.parser.dep.DependencyParserModel,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/parser/dep/DependencyParserModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/parser/dep/DependencyParserModel.scala,,,,,,
labeled_dependency_parser,TypedDependencyParserApproach,TypedDependencyParserModel,Labeled parser that finds a grammatical relation between two words in a sentence,"unlabeled_dependency, pos, token",labled_dependency,open source,,,"Typed Dependency Parser, Labeled grammatical relation, Labeled Dependency Parser, Dependency Tree, Labeled Dependency Tree, Typed Dependency Tree , Labeled Dependency Tree Parser, Typed Dependency Tree Parser ,Typed Dependency Tree Classification,  Labeled Dependency Tree Classification ","[{'param_name': 'conllFormat', 'param_description': 'CoNLL Format', 'param_default_value': 'U', 'param_setter_method': ""model.setConllFormat('U')"", 'param_getter_method': 'model.getConllFormat()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['token', 'pos', 'dependency']"", 'param_setter_method': ""model.setInputCols(['token', 'pos', 'dependency'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'labled_dependency', 'param_setter_method': ""model.setOutputCol('labled_dependency')"", 'param_getter_method': 'model.getOutputCol()'}]",,,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.annotators.parser.typdep.TypedDependencyParserModel,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/annotators/parser/typdep/TypedDependencyParserModel.scala,https://github.com/JohnSnowLabs/spark-nlp/tree/master/src/test/scala/com/johnsnowlabs/nlp/annotators/parser/typdep,,,,,,
bert,,BertEmbeddings,"BERT (Bidirectional Encoder Representations from Transformers) provides dense vector representations for natural language by using a deep, pre-trained neural network with the Transformer architecture","document, sentence, token",word_embeddings,open source,,,"Deep learning, BERT, BERT Embeddings, BERT Word Embeddings, Transformer, Bidirectional Encoder Representations from Transformers, Word Embeddings, Embeddings ","[{'param_name': 'batchSize', 'param_description': 'Batch size. Large values allows faster processing but requires more memory.', 'param_default_value': '32', 'param_setter_method': 'model.setBatchSize(32)', 'param_getter_method': 'model.getBatchSize()'}, {'param_name': 'maxSentenceLength', 'param_description': 'Max sentence length to process', 'param_default_value': '128', 'param_setter_method': 'model.setMaxSentenceLength(128)', 'param_getter_method': 'model.getMaxSentenceLength()'}, {'param_name': 'dimension', 'param_description': 'Number of embedding dimensions', 'param_default_value': '768', 'param_setter_method': 'model.setDimension(768)', 'param_getter_method': 'model.getDimension()'}, {'param_name': 'caseSensitive', 'param_description': 'whether to ignore case in tokens for embeddings matching', 'param_default_value': 'False', 'param_setter_method': 'model.setCaseSensitive(False)', 'param_getter_method': 'model.getCaseSensitive()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence', 'token']"", 'param_setter_method': ""model.setInputCols(['sentence', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'bert', 'param_setter_method': ""model.setOutputCol('bert')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'small_bert_L2_768', 'param_setter_method': ""model.setStorageRef('small_bert_L2_768')"", 'param_getter_method': 'model.getStorageRef()'}]",,https://arxiv.org/abs/1810.04805,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.embeddings.BertEmbeddings,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/embeddings/BertEmbeddings.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/embeddings/BertEmbeddingsTestSpec.scala,,,,,,
albert,,AlbertEmbeddings,Computes contextualized word representations using “A Lite” implementation of BERT algorithm by applying parameter-reduction techniques,"document, sentence, token",word_embeddings,open source,,,"Deep learning, ALBERT, ALBERT Embeddings, ALBERT Word Embeddings, Transformer, Bidirectional Encoder Representations from Transformers, Word Embeddings, Embeddings ","[{'param_name': 'batchSize', 'param_description': 'Batch size. Large values allows faster processing but requires more memory.', 'param_default_value': '32', 'param_setter_method': 'model.setBatchSize(32)', 'param_getter_method': 'model.getBatchSize()'}, {'param_name': 'dimension', 'param_description': 'Number of embedding dimensions', 'param_default_value': '768', 'param_setter_method': 'model.setDimension(768)', 'param_getter_method': 'model.getDimension()'}, {'param_name': 'maxSentenceLength', 'param_description': 'Max sentence length to process', 'param_default_value': '128', 'param_setter_method': 'model.setMaxSentenceLength(128)', 'param_getter_method': 'model.getMaxSentenceLength()'}, {'param_name': 'caseSensitive', 'param_description': 'whether to ignore case in tokens for embeddings matching', 'param_default_value': 'False', 'param_setter_method': 'model.setCaseSensitive(False)', 'param_getter_method': 'model.getCaseSensitive()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence', 'token']"", 'param_setter_method': ""model.setInputCols(['sentence', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'albert', 'param_setter_method': ""model.setOutputCol('albert')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'albert_base_uncased', 'param_setter_method': ""model.setStorageRef('albert_base_uncased')"", 'param_getter_method': 'model.getStorageRef()'}]",https://github.com/google-research/ALBERT,https://arxiv.org/pdf/1909.11942.pdf,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.embeddings.AlbertEmbeddings,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/embeddings/AlbertEmbeddings.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/embeddings/AlbertEmbeddingsTestSpec.scala,,,,,,
glove,WordEmbeddings,WordEmbeddingsModel,Word Embeddings lookup annotator that maps tokens to vectors,"document, token",word_embeddings,open source,,,"Word Embeddings, Glove Embeddings, Word2Vec Embeddings","[{'param_name': 'includeStorage', 'param_description': 'whether to include indexed storage in trained model', 'param_default_value': 'True', 'param_setter_method': 'model.setIncludeStorage(True)', 'param_getter_method': 'model.getIncludeStorage()'}, {'param_name': 'caseSensitive', 'param_description': 'whether to ignore case in tokens for embeddings matching', 'param_default_value': 'False', 'param_setter_method': 'model.setCaseSensitive(False)', 'param_getter_method': 'model.getCaseSensitive()'}, {'param_name': 'dimension', 'param_description': 'Number of embedding dimensions', 'param_default_value': '100', 'param_setter_method': 'model.setDimension(100)', 'param_getter_method': 'model.getDimension()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['document', 'token']"", 'param_setter_method': ""model.setInputCols(['document', 'token'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'glove_embeddings', 'param_setter_method': ""model.setOutputCol('glove_embeddings')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'glove_100d', 'param_setter_method': ""model.setStorageRef('glove_100d')"", 'param_getter_method': 'model.getStorageRef()'}]",,https://nlp.stanford.edu/pubs/glove.pdf,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.embeddings.WordEmbeddings,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/embeddings/WordEmbeddingsModel.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/embeddings/WordEmbeddingsTestSpec.scala,,,,,,
use,,UniversalSentenceEncoder,"Encodes text into high dimensional vectors that can be used for text classification, semantic similarity, clustering and other natural language tasks.","document, sentence",sentence_embeddings,open source,,,"Deep learning, Universal Sentence Encoder, Universal Sentence Encoder Embeddings, Universal Sentence Encoder Sentence Embeddings, Sentence Embeddings, Embeddings ","[{'param_name': 'dimension', 'param_description': 'Number of embedding dimensions', 'param_default_value': '512', 'param_setter_method': 'model.setDimension(512)', 'param_getter_method': 'model.getDimension()'}, {'param_name': 'inputCols', 'param_description': 'previous annotations columns, if renamed', 'param_default_value': ""['sentence']"", 'param_setter_method': ""model.setInputCols(['sentence'])"", 'param_getter_method': 'model.getInputCols()'}, {'param_name': 'outputCol', 'param_description': 'output annotation column. can be left default.', 'param_default_value': 'use_embeddings', 'param_setter_method': ""model.setOutputCol('use_embeddings')"", 'param_getter_method': 'model.getOutputCol()'}, {'param_name': 'storageRef', 'param_description': 'unique reference name for identification', 'param_default_value': 'tfhub_use', 'param_setter_method': ""model.setStorageRef('tfhub_use')"", 'param_getter_method': 'model.getStorageRef()'}]",https://tfhub.dev/google/universal-sentence-encoder/2,https://arxiv.org/abs/1803.11175,https://nlp.johnsnowlabs.com/api/index#com.johnsnowlabs.nlp.embeddings.UniversalSentenceEncoder,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/main/scala/com/johnsnowlabs/nlp/embeddings/UniversalSentenceEncoder.scala,https://github.com/JohnSnowLabs/spark-nlp/blob/master/src/test/scala/com/johnsnowlabs/nlp/embeddings/UniversalSentenceEncoderTestSpec.scala,,,,,,
