title,labels,author,name,latest_date,tags,description,dataset_info,included_models,dimension,edition,language,license,compatibility,inputs,case_sensitive,output,type,download_url,demo_url,colab_url,file,spark_version,ts,dataset
BERT Large Cased,,John Snow Labs,bert_large_cased,2020-01-02,"[open_source, embeddings, en]","This model contains a deep bidirectional transformer trained on Wikipedia and the BookCorpus. The details are described in the paper ""[BERT: Pre,training of Deep Bidirectional Transformers for Language Understanding](https://arxiv.org/abs/1810.04805)"".",The model is imported from [https://tfhub.dev/google/bert_cased_L-24_H-1024_A-16/1](https://tfhub.dev/google/bert_cased_L-24_H-1024_A-16/1),,1024,Official,en,Open Source,2.4.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/bert_large_cased_en_2.4.0_2.4_1580580251298.zip,,,bert_large_cased_en_2.4.0_2.4_1580580251298.zip,2.4,1580580251298,mds
Universal Sentence Encoder,,John Snow Labs,tfhub_use,2020-04-17,"[embeddings, en, open_source]","The Universal Sentence Encoder encodes text into high,dimensional vectors that can be used for text classification, semantic similarity, clustering and other natural language tasks.,The model is trained and optimized for greater,than,word length text, such as sentences, phrases or short paragraphs. It is trained on a variety of data sources and a variety of tasks with the aim of dynamically accommodating a wide variety of natural language understanding tasks. The input is variable length English text and the output is a 512 dimensional vector. We apply this model to the STS benchmark for semantic similarity, and the results can be seen in the example notebook made available. The universal,sentence,encoder model is trained with a deep averaging network (DAN) encoder.,The details are described in the paper ""[Universal Sentence Encoder](https://arxiv.org/abs/1803.11175)"".",The model is imported from [https://tfhub.dev/google/universal-sentence-encoder/2](https://tfhub.dev/google/universal-sentence-encoder/2),,512,Official,en,Open Source,2.4.0,sentence,true,sentence_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/tfhub_use_en_2.4.0_2.4_1587136330099.zip,,,tfhub_use_en_2.4.0_2.4_1587136330099.zip,2.4,1587136330099,mds
BioBERT Clinical,,John Snow Labs,biobert_clinical_base_cased,2020-07-20,"[embeddings, en, open_source]","This model contains a pre,trained weights of ClinicalBERT for generic clinical text. This domain,specific model has performance improvements on 3/5 clinical NLP tasks andd establishing a new state,of,the,art on the MedNLI dataset. The details are described in the paper ""[Publicly Available Clinical BERT Embeddings](https://www.aclweb.org/anthology/W19,1909/)"".",The model is imported from [https://github.com/EmilyAlsentzer/clinicalBERT](https://github.com/EmilyAlsentzer/clinicalBERT),,768,Official,en,Open Source,2.5.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,,,biobert_clinical_base_cased_en_2.5.0_2.4_1590489819943.zip,2.4,1590489819943,mds
Explain Clinical Doc ERA,,John Snow Labs,explain_clinical_doc_era,2020-08-19,"[pipeline, en, licensed]","A pretrained pipeline with ner_clinical_events, assertion_dl and re_temporal_events_clinical. It will extract clinical entities, assign assertion status and find temporal relationships between clinical entities",,"- ner_clinical_events
- assertion_dl
- re_temporal_events_clinical",,Healthcare,en,Licensed,2.5.5,,,,pipeline,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/explain_clinical_doc_era_en_2.5.5_2.4_1597841630062.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/11.Pretrained_Clinical_Pipelines.ipynb,explain_clinical_doc_era_en_2.5.5_2.4_1597841630062.zip,2.4,1597841630062,mds
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2020-05-10,"[ner, pl, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://pl.wikipedia.org](https://pl.wikipedia.org),,,Official,pl,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_pl_2.5.0_2.4_1588519719571.zip,https://demo.johnsnowlabs.com/public/NER_PL,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_PL.ipynb,wikiner_6B_300_pl_2.5.0_2.4_1588519719571.zip,2.4,1588519719571,mds
BERT Base Uncased,,John Snow Labs,bert_base_uncased,2020-01-02,"[open_source, embeddings, en]","This model contains a deep bidirectional transformer trained on Wikipedia and the BookCorpus. The details are described in the paper ""[BERT: Pre,training of Deep Bidirectional Transformers for Language Understanding](https://arxiv.org/abs/1810.04805)"".",The model is imported from [https://tfhub.dev/google/bert_uncased_L-12_H-768_A-12/1](https://tfhub.dev/google/bert_uncased_L-12_H-768_A-12/1),,768,Official,en,Open Source,2.4.0,"sentence, token",false,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/bert_base_cased_en_2.4.0_2.4_1580579557778.zip,,,bert_base_cased_en_2.4.0_2.4_1580579557778.zip,2.4,1580579557778,mds
XLNet Large,,John Snow Labs,xlnet_large_cased,2020-04-28,"[embeddings, en, open_source]","XLNet is a new unsupervised language representation learning method based on a novel generalized permutation language modeling objective. Additionally, XLNet employs Transformer,XL as the backbone model, exhibiting excellent performance for language tasks involving long context. Overall, XLNet achieves state,of,the,art (SOTA) results on various downstream language tasks including question answering, natural language inference, sentiment analysis, and document ranking. The details are described in the paper ""[​XLNet: Generalized Autoregressive Pretraining for Language Understanding](https://arxiv.org/abs/1906.08237)""",The model is imported from [https://github.com/zihangdai/xlnet](https://github.com/zihangdai/xlnet),,1024,Official,en,Open Source,2.5.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/xlnet_large_cased_en_2.5.0_2.4_1588074397954.zip,,,xlnet_large_cased_en_2.5.0_2.4_1588074397954.zip,2.4,1588074397954,mds
NerDLModel Clinical Large,"Problem, Test, Treatment",John Snow Labs,ner_clinical_large,2020-05-23,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for clinical terms. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on augmented 2010 i2b2 challenge data with 'embeddings_clinical'.
https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/",,,Healthcare,en,Licenced,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_clinical_large_en_2.5.0_2.4_1590021302624.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_clinical_large_en_2.5.0_2.4_1590021302624.zip,2.4,1590021302624,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-05-10,"[ner, pl, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://pl.wikipedia.org](https://pl.wikipedia.org),,,Official,pl,Open Source,2.5.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_pl_2.5.0_2.4_1588519719572.zip,https://demo.johnsnowlabs.com/public/NER_PL,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_PL.ipynb,wikiner_840B_300_pl_2.5.0_2.4_1588519719572.zip,2.4,1588519719572,mds
WikiNER 6B 300,,John Snow Labs,wikiner_6B_300,2020-02-03,"[ner, es, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 6B 300 is trained with GloVe 6B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://es.wikipedia.org](https://es.wikipedia.org),,,Official,es,Open Source,2.4.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_6B_300_es_2.4.0_2.4_1581971942090.zip,https://demo.johnsnowlabs.com/public/NER_ES,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_ES.ipynb,wikiner_6B_300_es_2.4.0_2.4_1581971942090.zip,2.4,1581971942090,mds
BERT Large Uncased,,John Snow Labs,bert_large_uncased,2020-01-02,"[open_source, embeddings, en]","This model contains a deep bidirectional transformer trained on Wikipedia and the BookCorpus. The details are described in the paper ""[BERT: Pre,training of Deep Bidirectional Transformers for Language Understanding](https://arxiv.org/abs/1810.04805)"".",The model is imported from [https://tfhub.dev/google/bert_uncased_L-24_H-1024_A-16/1](https://tfhub.dev/google/bert_uncased_L-24_H-1024_A-16/1),,1024,Official,en,Open Source,2.4.0,"sentence, token",false,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/bert_large_uncased_en_2.4.0_2.4_1580581306683.zip,,,bert_large_uncased_en_2.4.0_2.4_1580581306683.zip,2.4,1580581306683,mds
Deidentification NER (Large),,John Snow Labs,ner_deid_large,2020-03-04,"[ner, en, deidentify, licensed]","Deidentification NER (Large) is a Named Entity Recognition model that annotates text to find protected health information that may need to be deidentified. The entities it annotates are Age, Contact, Date, Id, Location, Name, and Profession. Clinical NER is trained with the 'embeddings_clinical' word embeddings model, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/](https://portal.dbmi.hms.harvard.edu/projects/n2c2-2014/),,,Official,en,Licensed,2.4.2,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_deid_large_en_2.4.2_2.4_1587513305751.zip,https://demo.johnsnowlabs.com/healthcare/NER_DEMOGRAPHICS,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/healthcare/NER_DEMOGRAPHICS.ipynb,ner_deid_large_en_2.4.2_2.4_1587513305751.zip,2.4,1587513305751,mds
NerDLModel Drugs,DrugChem,John Snow Labs,ner_drugs,2020-03-25,"[ner, en, licensed]","Pretrained named entity recognition deep learning model for Drugs. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on i2b2_med7 + FDA with 'embeddings_clinical'.
https://www.i2b2.org/NLP/Medication",,,Healthcare,en,Licensed,2.4.4,"sentence,token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/ner_drugs_en_2.4.4_2.4_1584452534235.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/1.Clinical_Named_Entity_Recognition_Model.ipynb,ner_drugs_en_2.4.4_2.4_1584452534235.zip,2.4,1584452534235,mds
WikiNER 840B 300,,John Snow Labs,wikiner_840B_300,2020-02-03,"[ner, es, open_source]","WikiNER is a Named Entity Recognition (or NER) model, meaning it annotates text to find features like the names of people, places, and organizations. This NER model does not read words directly but instead reads word embeddings, which represent words as points such that more semantically similar words are closer together. WikiNER 840B 300 is trained with GloVe 840B 300 word embeddings, so be sure to use the same embeddings in the pipeline.",The model is imported from [https://es.wikipedia.org](https://es.wikipedia.org),,,Official,es,Open Source,2.4.0,"sentence, token, embeddings",false,ner,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/wikiner_840B_300_es_2.4.0_2.4_1581971942091.zip,https://demo.johnsnowlabs.com/public/NER_ES,https://colab.research.google.com/github/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/streamlit_notebooks/NER_ES.ipynb,wikiner_840B_300_es_2.4.0_2.4_1581971942091.zip,2.4,1581971942091,mds
Glove 840B 300,,John Snow Labs,glove_840B_300,2020-01-22,"[open_source, embeddings]","GloVe (Global Vectors) is a model for distributed word representation. This is achieved by mapping words into a meaningful space where the distance between words is related to semantic similarity. It outperformed many common Word2vec models on the word analogy task. One benefit of GloVe is that it is the result of directly modeling relationships, instead of getting them as a side effect of training a language model.",The model is imported from [https://nlp.stanford.edu/projects/glove/](https://nlp.stanford.edu/projects/glove/),,300,Official,xx,Open Source,2.4.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/glove_840B_300_xx_2.4.0_2.4_1579698926752.zip,,,glove_840B_300_xx_2.4.0_2.4_1579698926752.zip,2.4,1579698926752,mds
Assertion DL Large,"hypothetical, present, absent, possible, conditional, associated_with_someone_else",John Snow Labs,assertion_dl_large,2020-05-21,"[ner, en, licensed]","Deep learning named entity recognition model for assertions. The SparkNLP deep learning model (NerDL) is inspired by a former state of the art model for NER: Chiu & Nicols, Named Entity Recognition with Bidirectional LSTM,CNN.","Trained on 2010 i2b2/VA challenge on concepts, assertions, and relations in clinical text with 'embeddings_clinical'.
https://portal.dbmi.hms.harvard.edu/projects/n2c2-nlp/",,,Healthcare,en,Licensed,2.5.0,"sentence, ner_chunk, embeddings",false,assertion,ner,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/clinical/models/assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,,https://github.com/JohnSnowLabs/spark-nlp-workshop/blob/master/tutorials/Certification_Trainings/Healthcare/2.Clinical_Assertion_Model.ipynb,assertion_dl_large_en_2.5.0_2.4_1590022282256.zip,2.4,1590022282256,mds
XLNet Base,,John Snow Labs,xlnet_base_cased,2020-04-28,"[embeddings, en, open_source]","XLNet is a new unsupervised language representation learning method based on a novel generalized permutation language modeling objective. Additionally, XLNet employs Transformer,XL as the backbone model, exhibiting excellent performance for language tasks involving long context. Overall, XLNet achieves state,of,the,art (SOTA) results on various downstream language tasks including question answering, natural language inference, sentiment analysis, and document ranking. The details are described in the paper ""[​XLNet: Generalized Autoregressive Pretraining for Language Understanding](https://arxiv.org/abs/1906.08237)""",The model is imported from [https://github.com/zihangdai/xlnet](https://github.com/zihangdai/xlnet),,768,Official,en,Open Source,2.5.0,"sentence, token",true,word_embeddings,embeddings,https://s3.amazonaws.com/auxdata.johnsnowlabs.com/public/models/xlnet_base_cased_en_2.5.0_2.4_1588074114942.zip,,,xlnet_base_cased_en_2.5.0_2.4_1588074114942.zip,2.4,1588074114942,mds
